Тип жилья,общая площадь,цена в рублях,ближайшее метро,расстояние до метро,жилая площадь,высота потолков,этаж
квартира,64.60,5 700 тыс. руб,Автово,18.6 км,40.30,2.53,3/5
квартира,52.70,5 720 тыс. руб,Проспект Ветеранов,22 км,28.60,2.51,13/14
квартира,78.60,5 800 тыс. руб,Беговая,20.4 км,54.90,3.30,4/4
квартира,51.10,5 800 тыс. руб,Проспект Ветеранов,22.6 км,30.60,2.55,9/9
квартира,82.30,5 895 тыс. руб,Ленинский  проспект,22.5 км,57.20,2.50,1/5
квартира,68.00,6 130 тыс. руб,Проспект Ветеранов,22.4 км,40.80,Не известно,6/9
квартира,52.00,6 200 тыс. руб,Автово,18.2 км,29.80,2.65,2/5
квартира,71.40,6 250 тыс. руб,Проспект Ветеранов,22.2 км,40.60,Не известно,5/6
квартира,68.00,6 350 тыс. руб,Проспект Ветеранов,17.1 км,40.90,Не известно,3/5
квартира,55.20,6 400 тыс. руб,Автово,18.8 км,27.00,2.65,3/5
квартира,69.00,6 500 тыс. руб,Проспект Ветеранов,17.1 км,38.00,2.60,2/5
квартира,67.90,6 500 тыс. руб,Проспект Ветеранов,19.2 км,46.00,Не известно,1/5
квартира,70.00,6 600 тыс. руб,Проспект Ветеранов,22.1 км,48.00,Не известно,6/9
квартира,86.10,6 650 тыс. руб,Автово,17.6 км,60.10,2.60,1/5
квартира,68.20,6 690 тыс. руб,Проспект Ветеранов,17.1 км,37.30,2.50,2/5
квартира,71.80,6 700 тыс. руб,Проспект Ветеранов,22.7 км,47.20,Не известно,4/9
квартира,81.00,6 700 тыс. руб,Проспект Ветеранов,17.2 км,48.00,Не известно,5/5
квартира,66.80,6 700 тыс. руб,Автово,22.5 км,41.90,2.60,5/6
квартира,55.20,6 700 тыс. руб,Ленинский  проспект,19.3 км,27.30,2.50,3/5
квартира,82.30,6 750 тыс. руб,Проспект Ветеранов,21.9 км,56.40,Не известно,1/9
квартира,63.30,6 750 тыс. руб,Ленинский  проспект,22.9 км,42.30,2.56,5/7
квартира,63.30,6 750 тыс. руб,Беговая,23.2 км,42.30,Не известно,5/7
квартира,80.00,6 800 тыс. руб,Автово,23.7 км,42.70,2.80,4/5
квартира,88.50,6 800 тыс. руб,Проспект Ветеранов,23.1 км,77.50,4.30,4/5
квартира,60.00,6 950 тыс. руб,Автово,22.6 км,40.00,не известен,5/7
квартира,49.60,7 050 тыс. руб,Проспект Ветеранов,22.5 км,27.80,2.65,5/7
квартира,80.50,7 100 тыс. руб,Автово,22.3 км,49.80,2.57,6/6
квартира,68.90,7 200 тыс. руб,Проспект Ветеранов,22.5 км,43.00,Не известно,4/6
квартира,68.90,7 200 тыс. руб,Автово,22.5 км,43.00,Не известно,4/6
квартира,55.20,7 350 тыс. руб,Автово,19 км,30.60,2.82,1/3
квартира,82.20,7 400 тыс. руб,Проспект Ветеранов,22.2 км,52.25,2.80,5/5
квартира,103.04,7 415 тыс. руб,Автово,22.3 км,41.76,3.50,3/3
квартира,50.37,7 500 тыс. руб,Автово,19 км,36.27,Не известно,3/3
квартира,67.00,7 680 тыс. руб,Проспект Ветеранов,18.2 км,33.10,Не известно,4/5
квартира,80.00,7 700 тыс. руб,Автово,22.3 км,49.00,2.60,3/6
квартира,70.00,7 800 тыс. руб,Автово,22.3 км,50.00,Не известно,5/9
квартира,69.50,7 980 тыс. руб,Проспект Ветеранов,22.8 км,35.00,Не известно,2/12
квартира,59.80,8 000 тыс. руб,Автово,20.1 км,42.20,2.55,1/4
квартира,63.50,8 200 тыс. руб,Проспект Ветеранов,19.3 км,45.70,Не известно,1/2
квартира,92.20,8 800 тыс. руб,Проспект Ветеранов,19.3 км,63.70,2.54,1/4
квартира,64.60,8 950 тыс. руб,Проспект Ветеранов,20 км,47.10,2.50,3/5
квартира,98.10,9 000 тыс. руб,Автово,17.5 км,60.00,3.30,2/4
квартира,149.00,9 495 тыс. руб,Проспект Ветеранов,117.4 км,90.40,3.03,1/2
квартира,149.20,9 508 тыс. руб,Проспект Ветеранов,117.4 км,90.70,3.03,1/2
квартира,149.30,9 514 тыс. руб,Проспект Ветеранов,117.4 км,90.60,3.03,1/2
квартира,149.40,9 520 тыс. руб,Проспект Ветеранов,117.4 км,90.70,3.03,1/2
квартира,149.40,9 520 тыс. руб,Проспект Ветеранов,117.4 км,90.60,3.03,1/2
квартира,149.60,9 533 тыс. руб,Проспект Ветеранов,117.4 км,90.80,3.03,1/2
квартира,93.00,10 300 тыс. руб,Проспект Ветеранов,17.9 км,53.60,Не известно,5/5
квартира,250.00,10 500 тыс. руб,Проспект Ветеранов,22.4 км,100.00,3.10,2/3
квартира,76.80,10 752 тыс. руб,Проспект Ветеранов,18.9 км,25.30,2.70,3/4
квартира,76.80,10 752 тыс. руб,Ленинский  проспект,19.6 км,25.30,2.70,3/4
квартира,200.00,11 000 тыс. руб,Ленинский  проспект,22.9 км,140.00,3.10,4/4
квартира,70.70,12 000 тыс. руб,Автово,20 км,39.00,3.00,4/6
квартира,75.90,12 000 тыс. руб,Проспект Ветеранов,20.9 км,42.00,4.50,4/4
квартира,116.70,12 900 тыс. руб,Новокрестовская,20.3 км,72.40,Не известно,3/3
квартира,97.40,13 636 тыс. руб,Ленинский  проспект,19.5 км,39.50,2.94,2/4
квартира,97.40,14 000 тыс. руб,Ленинский  проспект,19.5 км,39.50,2.94,2/4
квартира,204.90,15 000 тыс. руб,Проспект Ветеранов,20 км,57.70,Не известно,2/6
квартира,94.40,15 000 тыс. руб,Автово,19.2 км,59.70,3.40,1/2
квартира,108.70,15 218 тыс. руб,Автово,19.1 км,51.00,2.70,3/4
квартира,133.10,21 000 тыс. руб,Ленинский  проспект,19.5 км,51.60,Не известно,1/4
квартира,39.50,3 650 тыс. руб,Проспект Ветеранов,17.9 км,17.10,Не известно,1/5
квартира,55.50,4 650 тыс. руб,Проспект Ветеранов,21.9 км,35.00,Не известно,5/5
квартира,67.00,7 700 тыс. руб,Автово,22.3 км,47.00,Не известно,5/6
квартира,175.00,29 000 тыс. руб,Проспект Ветеранов,18.9 км,95.00,3.00,2/3
квартира,43.00,1 600 тыс. руб,Проспект Ветеранов,18.9 км,30.50,Не известно,1/3
